Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
473	Eflin, Zach	PHI	P	506.54	408	501		11		
474	Heuer, Codi	CHC	P	506.92	400	531		11		
475	Yarbrough, Ryan	TB	P	507.54	399	531		12		
476	Cabrera, Miguel	DET	1B	510.46	397	522		11		
477	Rios, Edwin	LAD	1B	510.69	425	539		12		
478	Bubic, Kris	KC	P	511.23	440	503		11		
479	Odorizzi, Jake	HOU	P	512.85	434	517		11		
480	Alford, Anthony	PIT	OF	515.31	423	542		11		
481	Moreno, Gabriel	TOR	C	520.08	391	526		11		
482	Meyer, Max	MIA	P	521.38	453	510		11		
483	Casas, Triston	BOS	1B	522.15	435	538		11		
484	Pratto, Nick	KC	1B	522.15	442	546		11		
485	Boxberger, Brad	MLW	P	522.46	407	626		12		
486	Gordon, Nick	MIN	OF	522.46	376	553		11		
487	Gorman, Nolan	STL	2B	523.23	414	559		11		
488	Murphy, Tom	SEA	C	524.85	439	551		11		
489	Keller, Mitch	PIT	P	525.23	395	539		11		
490	Manning, Matt	DET	P	527.08	439	522		11		
491	Fairbanks, Pete	TB	P	527.69	433	526		11		
492	Peterson, Jace	MLW	1B, 2B, OF	528.69	406	590		12		
493	Suarez, Jose	LAA	P	528.85	460	556		11		
494	Farmer, Kyle	CIN	SS	529.46	441	585		11		
495	Kwan, Steven	CLE	OF	529.69	433	564		11		
496	Perez, Roberto	PIT	C	533.23	423	539		11		
497	Ahmed, Nick	ARZ	SS	534.69	436	547		11		
498	Vierling, Matt	PHI	OF	535.77	435	540		11		
499	Ramirez, Harold	CHC	OF	538.08	443	711		12		
500	Lynch, Daniel	KC	P	538.23	459	602		11		
501	Diaz, Aledmys	HOU	3B	539.77	476	556		11		
502	Castro, Willi	DET	2B, SS	541.38	444	566		11		
503	Siri, Jose	HOU	OF	543.69	457	548		11		
504	Sanmartin, Reiver	CIN	P	544.08	447	646		11		
505	Neris, Hector	HOU	P	544.46	432	580		11		
506	Lopez, Reynaldo	CWS	P	547.92	457	583		11		
507	Pinder, Chad	OAK	OF	548.62	417	583		11		
508	Irvin, Cole	OAK	P	549.85	478	566		11		
509	Meyers, Jake	HOU	OF	551.54	435	672		11		
510	Hernandez, Yadiel	WAS	OF	551.62	440	623		12		
511	Quintana, Jose	PIT	P	552.00	442	608		12		
512	Chavis, Michael	PIT	2B	552.92	482	558		11		
513	Miller, Brad	PHI	1B, OF	553.54	479	562		11		
514	Hicks, Jordan	STL	P	553.62	462	566		11		
515	Lodolo, Nick	CIN	P	554.38	472	591		11		
516	Ibanez, Andy	TEX	2B	554.62	470	614		11		
517	McHugh, Collin	TB	P	555.15	470	564		11		
518	Lorenzen, Michael	LAA	P	555.54	492	545		11		
519	Rodriguez, Richard	ATL	P	556.23	438	590		11		
520	Gomber, Austin	COL	P	556.38	451	557		11		
521	Andrus, Elvis	OAK	SS	557.08	450	579		11		
522	Rogers, Tyler	SF	P	558.92	448	585		12		
523	Diaz, Lewin	MIA	1B	559.23	457	572		11		
524	Choi, Ji-Man	TB	1B	559.77	474	614		11		
525	Larnach, Trevor	MIN	OF	560.77	461	596		11		
526	Mercado, Oscar	CLE	OF	560.77	403	616		12		
527	Crochet, Garrett	CWS	P	560.85	497	574		11		
528	Anderson, Tyler	SEA	P	561.23	474	567		11		
529	Howard, Spencer	TEX	P	563.00	494	577		11		
530	Raleigh, Cal	SEA	C	565.92	474	633		11		
531	Pina, Manny	ATL	C	567.08	514	579		11		
532	Walls, Taylor	TB	SS	567.62	477	625		11		
533	Peterson, David	NYM	P	569.00	498	605		11		
534	Davis, Brennen	CHC	OF	569.62	432	608		11		
535	Maldonado, Martin	HOU	C	569.69	446	601		11		
536	Muller, Kyle	ATL	P	573.69	487	598		11		
537	Gamel, Ben	PIT	OF	575.15	482	591		11		
538	Otto, Glenn	TEX	P	575.23	486	623		11		
539	Kiermaier, Kevin	TB	OF	575.38	504	563		11		
540	Tepera, Ryan	CWS	P	576.69	437	642		12		
541	Graveman, Kendall	CWS	P	577.15	480	635		11		
542	Puk, A.J.	OAK	P	577.46	496	591		11		
543	Fedde, Erick	WAS	P	578.23	484	628		11		
544	May, Trevor	NYM	P	580.69	475	651		11		
545	Slater, Austin	SF	OF	580.77	466	637		11		
546	Stripling, Ross	TOR	P	582.08	485	604		11		
547	Hudson, Daniel	LAD	P	582.38	507	659		11		
548	Gutierrez, Vladimir	CIN	P	582.77	515	615		11		
549	Morris, Cody	CLE	P	583.77	482	630		11		
550	Hearn, Taylor	TEX	P	584.00	474	636		11		
551	Upton, Justin	LAA	OF	584.38	509	600		11		
552	Dunn, Justin	SEA	P	585.23	455	628		11		
553	Goodrum, Niko	DET	SS	586.15	465	664		11		
554	Beer, Seth	ARZ	UT	586.38	502	610		11		
555	Keller, Brad	KC	P	586.46	488	600		11		
556	Olivares, Edward	KC	OF	586.46	476	607		11		
557	Price, David	LAD	P	587.85	444	673		12		
558	Freeland, Kyle	COL	P	588.15	528	626		11		
559	Thomas, Alek	ARZ	OF	588.54	490	645		11		
560	Davidson, Tucker	ATL	P	588.77	521	635		11		
561	Soroka, Mike	ATL	P	588.92	520	599		11		
562	Bradley Jr., Jackie	BOS	OF	589.23	477	613		11		
563	Trevino, Jose	TEX	C	589.69	425	652		11		
564	Matzek, Tyler	ATL	P	591.38	517	663		11		
565	Cavalli, Cade	WAS	P	591.46	478	643		11		
566	Nootbaar, Lars	STL	OF	591.77	506	647		11		
567	Keuchel, Dallas	CWS	P	592.08	459	604		11		
568	Caratini, Victor	SD	C	592.31	522	659		11		
569	Straily, Dan	FA	P	598.15	489	665		11		
570	Campusano, Luis	SD	C	598.15	489	660		11		
571	Huff, Sam	TEX	1B	600.46	514	617		11		
572	Duffy, Matt	CHC	2B, 3B	600.54	539	634		11		
573	Smyly, Drew	ATL	P	601.69	527	620		11		
574	Berti, Jon	MIA	2B, 3B	602.85	466	708		11		
575	Nunez, Dom	COL	C	603.00	527	640		11		
576	Munoz, Andres	SEA	P	603.23	505	690		11		
577	Alexander, Tyler	DET	P	603.62	500	616		11		
578	Escobar, Alcides	WAS	SS	603.77	550	611		11		
579	Beaty, Matt	LAD	1B, OF	604.15	547	656		11		
580	Lyles, Jordan	BAL	P	605.62	513	639		11		
581	Plawecki, Kevin	BOS	C	606.85	478	659		11		
582	Reyes, Victor	DET	OF	606.92	482	686		11		
583	Senzatela, Antonio	COL	P	608.54	521	617		11		
584	Higashioka, Kyle	NYY	C	610.31	528	655		11		
585	Long, Sammy	SF	P	610.77	517	650		11		
586	Fraley, Jake	SEA	OF	612.31	494	675		11		
587	Iglesias, Jose	BOS	SS	613.00	514	657		11		
588	Naylor, Josh	CLE	OF	613.77	517	685		11		
589	Bard, Daniel	COL	P	616.85	499	685		11		
590	Hedges, Austin	CLE	C	617.23	540	649		11		
591	Tucker, Cole	PIT	SS	617.69	512	658		11		
592	Kim, Kwang Hyun	STL	P	619.08	467	679		11		
593	Engel, Adam	CWS	OF	620.00	559	632		10		
594	Merryweather, Julian	TOR	P	621.31	530	694		11		
595	Brash, Matt	SEA	P	622.23	542	663		11		
596	Thaiss, Matt	LAA	1B	625.77	549	726		11		
597	Garcia, Yimi	TOR	P	626.54	548	636		11		
598	Kirby, George	SEA	P	627.00	520	664		11		
599	Duffy, Danny	LAD	P	627.62	528	701		11		
600	Casali, Curt	SF	C	628.77	563	651		11		
601	Herrera, Odubel	PHI	OF	628.85	582	627		11		
602	Newman, Kevin	PIT	SS	631.38	507	667		11		
603	Alvarado, Jose	PHI	P	633.00	503	698		11		
604	Brosseau, Mike	MLW	2B, 3B	634.31	521	723		11		
605	Duffey, Tyler	MIN	P	634.46	553	681		11		
606	Phillips, Brett	TB	OF	635.85	487	713		10		
607	Smith, Caleb	ARZ	P	636.69	581	674		11		
608	Garcia, Luis	SD	P	636.85	499	703		11		
609	McKinstry, Zach	LAD	2B, OF	637.15	505	707		11		
610	Graterol, Brusdar	LAD	P	637.31	554	692		11		
611	Pache, Cristian	ATL	OF	637.92	545	720		11		
612	Morgan, Eli	CLE	P	638.85	551	665		11		
613	Moran, Colin	PIT	1B	639.23	550	701		11		
614	Pagan, Emilio	SD	P	639.31	515	701		11		
615	White, Mitch	LAD	P	639.62	569	721		11		
616	Wright, Kyle	ATL	P	640.38	537	740		11		
617	Canning, Griffin	LAA	P	641.23	564	730		11		
618	Stephenson, Robert	COL	P	641.31	538	725		11		
619	Chang, Yu	CLE	1B, 3B	641.31	540	697		11		
620	Burger, Jake	CWS	3B	641.85	533	671		11		
621	VanMeter, Josh	ARZ	2B, 3B	642.54	515	670		11		
622	Abrams, CJ	SD	SS	643.23	552	708		11		
623	Suter, Brent	MLW	P	646.62	560	702		11		
624	Jefferies, Daulton	OAK	P	647.15	557	707		11		
625	Welker, Colton	COL	3B	647.85	588	695		11		
626	Barnes, Austin	LAD	C	648.62	596	660		11		
627	Contreras, William	ATL	C	650.08	589	664		10		
628	Dubon, Mauricio	SF	2B, SS, OF	650.46	563	684		11		
629	Alexy, A.J.	TEX	P	651.08	541	668		10		
630	Winn, Cole	TEX	P	651.62	578	672		11		
631	Dickerson, Corey	TOR	OF	652.15	534	688		11		
632	Falter, Bailey	PHI	P	652.69	578	734		10		
633	Castro, Jason	HOU	C	653.77	555	705		11		
634	Arroyo, Christian	BOS	2B	655.54	499	712		11		
635	Coleman, Dylan	KC	P	656.31	595	690		11		
636	Steele, Justin	CHC	P	656.85	602	674		11		
637	Gore, MacKenzie	SD	P	657.08	552	719		11		
638	Andujar, Miguel	NYY	OF	658.92	527	695		11		
639	Liberatore, Matt	STL	P	660.08	586	717		11		
640	Pomeranz, Drew	SD	P	661.15	534	749		11		
641	Aquino, Aristides	CIN	OF	661.38	575	716		11		
642	Lowrie, Jed	OAK	2B	663.46	378	735		11		
643	Mayers, Mike	LAA	P	663.92	563	710		11		
644	Bummer, Aaron	CWS	P	665.85	564	748		11		
645	Piscotty, Stephen	OAK	OF	666.77	590	750		10		
646	Swaggerty, Travis	PIT	OF	667.08	541	730		11		
647	Adams, Riley	WAS	C	667.77	615	737		11		
648	Simmons, Andrelton	MIN	SS	668.00	579	742		11		
649	Romero, Tommy	TB	P	671.46	587	703		11		
650	Espino, Paolo	WAS	P	671.85	601	672		9		
651	Allen, Greg	PIT	OF	672.54	575	724		11		
652	Duggar, Steven	SF	OF	672.77	604	704		10		
653	Kowar, Jackson	KC	P	673.15	588	712		11		
654	Jackson, Luke	ATL	P	674.46	577	730		11		
655	Paxton, James	BOS	P	675.23	601	725		11		
656	Lugo, Seth	NYM	P	675.62	584	728		10		
657	Franco, Maikel	BAL	3B	678.08	575	746		11		
658	Pillar, Kevin	NYM	OF	679.54	568	713		10		
659	Weathers, Ryan	SD	P	679.77	607	731		10		
660	Cameron, Daz	DET	OF	680.23	544	710		9		
661	Mills, Alec	CHC	P	680.92	577	742		11		
662	Cueto, Johnny	SF	P	681.00	567	745		11		
663	Jones, Nolan	CLE	3B	681.46	606	723		11		
664	Loup, Aaron	LAA	P	681.77	615	712		11		
665	Cessa, Luis	CIN	P	681.77	595	736		10		
666	Fortes, Nick	MIA	C	681.85	609	703		10		
667	Heyward, Jason	CHC	OF	682.31	588	719		11		
668	Honeywell Jr., Brent	OAK	P	682.46	593	748		11		
669	Yates, Kirby	ATL	P	685.00	611	734		10		
670	May, Dustin	LAD	P	686.92	626	739		10		
671	Hernandez, Yonny	TEX	3B	687.46	552	750		10		
672	Vesia, Alex	LAD	P	688.54	595	730		10		
673	Perdomo, Geraldo	ARZ	SS	689.00	606	742		10		
674	Givens, Mychal	CIN	P	689.54	585	750		10		
675	Knizner, Andrew	STL	C	690.00	624	714		10		
676	Crowe, Wil	PIT	P	691.54	604	743		11		
677	Cousins, Jake	MLW	P	692.00	586	718		10		
678	Gosselin, Phil	LAA	1B, 3B, OF	693.54	588	748		10		
679	McCarthy, Jake	ARZ	OF	695.15	588	748		9		
680	Garcia, Deivi	NYY	P	695.92	628	726		11		
681	Garrett, Amir	CIN	P	696.08	502	738		9		
682	Dahl, David	TEX	OF	696.31	563	750		10		
683	Rooker, Brent	MIN	OF	696.54	619	750		11		
684	Zimmermann, Bruce	BAL	P	698.46	615	694		8		
685	Feyereisen, J.P.	TB	P	699.69	608	731		10		
686	Toussaint, Touki	ATL	P	700.23	636	750		11		
687	Pasquantino, Vinnie	FA	1B	700.54	592	749		9		
688	Chafin, Andrew	OAK	P	700.69	598	739		9		
689	Estrada, Thairo	SF	SS	701.08	603	719		7		
690	Wilson, Bryse	PIT	P	701.08	633	727		9		
691	Allen, Austin	OAK	C	701.23	623	743		10		
692	Boyd, Matthew	DET	P	702.46	631	749		10		
693	Dobnak, Randy	MIN	P	702.77	603	733		10		
694	Bote, David	CHC	2B, 3B	702.92	567	745		8		
695	Adon, Joan	WAS	P	703.00	606	750		9		
696	Lewis, Royce	MIN	SS	705.00	589	733		9		
697	Collins, Zack	CWS	C	705.23	642	718		8		
698	Solano, Donovan	SF	2B	705.38	642	725		8		
699	Richards, Trevor	TOR	P	705.54	613	732		8		
700	Stanek, Ryne	HOU	P	706.08	652	737		10		
701	Santillan, Tony	CIN	P	706.54	601	749		7		
702	Schmidt, Clarke	NYY	P	707.08	633	709		8		
703	King, Michael	NYY	P	707.08	620	742		9		
704	Peters, Dillon	PIT	P	708.62	627	745		7		
705	Rengifo, Luis	LAA	SS	708.92	582	700		5		
706	White, Evan	SEA	1B	709.00	602	710		6		
707	Diekman, Jake	OAK	P	713.15	640	735		9		
708	Davies, Zach	CHC	P	713.62	629	747		8		
709	Ross, Joe	WAS	P	717.08	638	730		8		
710	Martin, Corbin	ARZ	P	717.38	644	749		9		
711	Holmes, Clay	NYY	P	717.85	435	748		6		
712	Daza, Yonathan	COL	OF	718.08	568	739		6		
713	Martin, Austin	TOR	OF	718.15	594	720		5		
714	Smith, Kevin	TOR	3B	718.38	637	748		8		
715	Ward, Taylor	LAA	OF	718.85	619	733		7		
716	Luplow, Jordan	ARZ	OF	719.00	667	728		7		
717	Happ, J.A.	STL	P	719.15	648	737		8		
718	Paredes, Isaac	DET	2B	719.85	621	741		6		
719	Gilbert, Tyler	ARZ	P	719.92	617	714		6		
720	Dickerson, Alex	SF	OF	720.00	647	744		6		
721	Leclerc, Jose	TEX	P	720.38	603	681		4		
722	Raley, Brooks	TB	P	721.15	637	741		9		
723	Ottavino, Adam	BOS	P	721.23	669	733		7		
724	Gutierrez, Kelvin	BAL	3B	721.31	647	744		7		
725	Evans, Demarcus	TEX	P	721.62	436	684		2		
726	Fleming, Josh	TB	P	722.08	650	737		6		
727	Cabrera, Genesis	STL	P	722.31	661	741		7		
728	Yajure, Miguel	PIT	P	722.46	637	747		6		
729	Acevedo, Domingo	OAK	P	722.69	470	708		3		
730	McGuire, Reese	TOR	C	723.85	631	735		7		
731	Scott, Tanner	BAL	P	724.31	634	739		7		
732	Montero, Elehuris	COL	3B	725.00	611	734		5		
733	Akin, Keegan	BAL	P	725.15	647	749		7		
734	Vogelbach, Daniel	MLW	1B	725.38	637	742		5		
735	Ramos, Heliot	SF	OF	725.38	669	750		9		
736	Strider, Spencer	ATL	P	726.00	651	736		7		
737	Balazovic, Jordan	MIN	P	727.69	665	732		7		
738	Williamson, Brandon	SEA	P	727.92	627	747		5		
739	Waters, Drew	ATL	OF	728.38	640	738		7		
740	Downs, Jeter	BOS	SS	728.85	619	745		5		
741	Patton, Spencer	TEX	P	729.15	630	727		4		
742	Stewart, DJ	BAL	OF	729.62	675	692		4		
743	Adams, Austin	SD	P	730.46	662	745		5		
744	Friedl, TJ	CIN	OF	731.69	675	733		6		
745	Mercedes, Yermin	CWS	UT	731.85	545	708		2		
746	Osuna, Roberto	FA	P	731.92	678	740		5		
747	Lowther, Zac	BAL	P	732.00	671	746		5		
748	Guerra, Deolis	OAK	P	732.15	613	721		4		
749	Sheffield, Justus	SEA	P	732.23	668	747		6		
750	Richards, Garrett	BOS	P	732.62	616	744		5		
751	Vilade, Ryan	COL	OF	732.77	673	746		6		
752	Trammell, Taylor	SEA	OF	732.92	649	750		6		
753	Chirinos, Yonny	TB	P	733.00	683	706		4		
754	Allard, Kolby	TEX	P	733.69	633	745		6		
755	Cespedes, Yoelkis	CWS	UT	733.92	529	529		1		
756	Thames, Eric	FA	1B	734.15	578	737		3		
757	Vargas, Miguel	LAD	3B	734.62	672	724		4		
758	Maton, Phil	HOU	P	734.77	540	540		1		
759	Shaw, Travis	BOS	1B, 3B	735.23	639	739		3		
760	Kelly, Joe	LAD	P	735.23	638	748		4		
761	Camargo, Johan	PHI	1B	735.31	634	733		3		
762	Widener, Taylor	ARZ	P	735.31	677	693		3		
763	Archer, Chris	TB	P	735.31	651	748		7		
764	Cabrera, Asdrubal	CIN	3B	735.77	610	694		2		
765	Kilian, Caleb	FA	P	735.77	649	705		3		
766	Park, Hoy	PIT	2B	735.85	657	742		4		
767	Robles, Hansel	BOS	P	736.23	698	736		5		
768	Moran, Jovani	MIN	P	736.31	576	746		3		
769	Ponce de Leon, Daniel	STL	P	737.31	573	573		1		
770	Palacios, Richie	CLE	2B	737.46	642	726		3		
771	Stammen, Craig	SD	P	738.08	695	748		6		
772	Bleday, JJ	MIA	UT	738.77	686	747		6		
773	Allen, Logan T.	FA	P	738.77	677	710		3		
774	Demeritte, Travis	ATL	OF	738.92	653	722		3		
775	Alcantara, Sergio	CHC	2B, SS	739.23	683	733		4		
776	Langeliers, Shea	ATL	C	739.69	681	723		3		
777	Castro, Harold	DET	2B, SS	740.08	660	731		3		
778	Davis, Brendon	LAA	3B	740.46	684	728		3		
779	Small, Ethan	MLW	P	740.54	654	712		2		
780	Peraza, Oswald	NYY	SS	740.62	618	749		2		
781	Bass, Anthony	MIA	P	741.00	691	732		4		
782	Sadler, Casey	SEA	P	741.00	702	732		4		
783	Hall, D.L.	BAL	P	741.00	669	734		3		
784	Miller, Bobby	LAD	P	741.15	623	623		1		
785	Kingery, Scott	PHI	OF	741.31	679	697		2		
786	Brentz, Jake	KC	P	741.46	682	730		3		
787	Wisler, Matt	TB	P	741.46	699	748		5		
788	Martinez, Carlos	STL	P	742.23	699	743		4		
789	Brogdon, Connor	PHI	P	742.38	693	731		3		
790	Tate, Dillon	BAL	P	742.38	669	721		2		
791	James, Josh	HOU	P	742.62	673	739		3		
792	Velazquez, Nelson	CHC	OF	742.77	697	732		3		
793	Williams, Trevor	NYM	P	742.85	678	735		3		
794	Arias, Gabriel	CLE	SS	742.92	677	720		2		
795	Pujols, Albert	LAD	1B	743.00	680	741		3		
796	Alberto, Hanser	KC	2B, 3B	743.38	682	721		2		
797	Castillo, Diego	PIT	2B	743.46	690	740		3		
798	Peralta, Wily	DET	P	743.62	706	743		3		
799	Mayfield, Jack	LAA	3B	743.62	697	737		3		
800	Oviedo, Johan	STL	P	743.85	658	658		1		
801	Suzuki, Kurt	LAA	C	743.85	658	658		1		
802	Zimmerman, Ryan	WAS	1B	744.00	660	660		1		
803	Marcano, Tucupita	PIT	2B	744.00	685	726		2		
804	Hatch, Thomas	TOR	P	744.46	680	737		2		
805	Donovan, Brendan	STL	3B	744.54	667	667		1		
806	Leon, Pedro	FA	OF	744.54	715	734		3		
807	Beeks, Jalen	TB	P	744.62	668	668		1		
808	Swanson, Erik	SEA	P	744.62	717	744		4		
809	Brinson, Lewis	MIA	OF	744.77	702	735		3		
810	Castro, Kervin	SF	P	745.00	719	729		3		
811	Sborz, Josh	TEX	P	745.15	714	740		3		
812	Nido, Tomas	NYM	C	745.23	699	743		3		
813	Perez, Martin	BOS	P	745.23	676	676		1		
814	Bolt, Skye	OAK	OF	745.31	677	677		1		
815	Perez, Francisco	WAS	P	745.38	678	678		1		
816	Familia, Jeurys	NYM	P	745.46	679	679		1		
817	Dominguez, Seranthony	PHI	P	745.54	696	747		3		
818	Schrock, Max	CIN	OF	745.54	680	680		1		
819	Gonzalez, Romy	CWS	3B	745.62	681	681		1		
820	Haseley, Adam	PHI	OF	745.92	718	718		2		
821	Diaz, Isan	MIA	2B, 3B	745.92	685	685		1		
822	Wendelken, J.B.	ARZ	P	746.00	725	749		5		
823	Castro, Starlin	WAS	3B	746.08	687	687		1		
824	Hummel, Cooper	ARZ	OF	746.08	707	731		2		
825	Ramos, Wilson	CLE	C	746.15	688	688		1		
826	Minter, A.J.	ATL	P	746.15	715	724		2		
827	Bukauskas, J.B.	ARZ	P	746.23	719	721		2		
828	Crouse, Hans	PHI	P	746.38	725	734		3		
829	Bauers, Jake	SEA	1B, OF	746.38	691	691		1		
830	Bielak, Brandon	HOU	P	746.38	691	691		1		
831	Galvis, Freddy	PHI	SS	746.54	693	693		1		
832	Robertson, David	TB	P	746.54	702	742		2		
833	Velasquez, Vince	SD	P	746.85	697	697		1		
834	Anderson, Brett	MLW	P	746.92	705	744		2		
835	Fuentes, Joshua	COL	1B, 3B	746.92	702	747		2		
836	Jackson, Alex	MIA	C	747.08	700	700		1		
837	Arcia, Orlando	ATL	OF	747.08	712	749		3		
838	Mayza, Tim	TOR	P	747.15	715	745		3		
839	Nogowski, John	PIT	1B	747.15	701	701		1		
840	Busch, Michael	LAD	2B	747.31	714	747		3		
841	Bickford, Phil	LAD	P	747.31	703	703		1		
842	Effross, Scott	CHC	P	747.46	726	730		2		
843	Vientos, Mark	NYM	UT	747.77	709	709		1		
844	Florial, Estevan	NYY	OF	747.85	710	710		1		
845	Cisnero, Jose	DET	P	748.08	713	713		1		
846	Lange, Alex	DET	P	748.08	713	713		1		
847	Inciarte, Ender	CIN	OF	748.46	718	718		1		
848	Thompson, Mason	WAS	P	748.62	720	720		1		
849	Solomon, Peter	HOU	P	748.62	720	720		1		
850	Leon, Sandy	MIA	C	748.69	721	721		1		
851	Battenfield, Peyton	FA	P	748.69	721	721		1		
852	Woodford, Jake	STL	P	748.92	736	739		2		
853	Winder, Josh	MIN	P	748.92	735	740		2		
854	Cordero, Franchy	BOS	OF	749.08	726	726		1		
855	Jax, Griffin	MIN	P	749.08	726	726		1		
856	Poche, Colin	TB	P	749.15	727	727		1		
857	Culberson, Charlie	TEX	3B	749.15	727	727		1		
858	Stefanic, Michael	FA	2B	749.15	727	727		1		
859	Pepiot, Ryan	LAD	P	749.15	727	727		1		
860	Thielbar, Caleb	MIN	P	749.23	736	743		2		
861	Oliva, Jared	PIT	OF	749.46	731	731		1		
862	Harvey, Hunter	SF	P	749.46	731	731		1		
863	Alvarez, Francisco	NYM	UT	749.54	732	732		1		
864	Morejon, Adrian	SD	P	749.54	732	732		1		
865	Owings, Chris	COL	OF	749.54	732	732		1		
866	Luetge, Lucas	NYY	P	749.62	733	733		1		
867	Lopez, Jorge	BAL	P	749.62	733	733		1		
868	Garrett, Braxton	MIA	P	749.69	734	734		1		
869	Kreidler, Ryan	FA	SS	749.69	742	743		2		
870	Miller, Owen	CLE	2B	749.69	740	745		2		
871	Kahnle, Tommy	LAD	P	749.77	735	735		1		
872	Thorpe, Lewis	MIN	P	749.85	736	736		1		
873	Barrera, Luis	OAK	OF	749.92	737	737		1		
874	Stephan, Trevor	CLE	P	749.92	737	737		1		
875	Groshans, Jordan	TOR	SS	750.00	740	749		2		
876	Peluse, Colin	FA	P	750.00	738	738		1		
877	Ellis, Chris	BAL	P	750.00	738	738		1		
878	Baty, Brett	NYM	3B	750.00	738	738		1		
879	Murphy, Patrick	WAS	P	750.00	738	738		1		
880	Wieck, Brad	CHC	P	750.08	739	739		1		
881	Chargois, JT	TB	P	750.08	739	739		1		
882	Allen, Logan	CLE	P	750.08	739	739		1		
883	Jones, Taylor	HOU	1B	750.15	740	740		1		
884	Torreyes, Ronald	PHI	3B, SS	750.15	740	740		1		
885	Woods-Richardson, Simeon	TOR	P	750.23	741	741		1		
886	Polanco, Gregory	PIT	OF	750.31	742	742		1		
887	Leone, Dominic	SF	P	750.31	745	748		2		
888	Bradley, Archie	PHI	P	750.38	743	743		1		
889	Hill, Derek	DET	OF	750.46	744	744		1		
890	Cotton, Jharel	MIN	P	750.46	744	744		1		
891	Hjelle, Sean	SF	P	750.62	746	746		1		
892	Lindblom, Josh	MLW	P	750.62	746	746		1		
893	Ramirez, Noe	ARZ	P	750.62	746	746		1		
894	O'Hearn, Ryan	KC	1B, OF	750.69	747	747		1		
895	Rojas, Jose	LAA	OF	750.69	747	747		1		
896	Petit, Yusmeiro	OAK	P	750.85	749	749		1		
897	Jones, Jahmai	BAL	2B	750.92	750	750		1		
898	Heasley, Jon	KC	P	750.92	750	750		1		
